edate,prov,ilce,name,year,type,regvoter,actvoter,validvoter,p_akp,p_anadolupartisi,p_bgmz,p_btp,p_chp,p_dp,p_dsp,p_dyp,p_hakpar,p_hap,p_hdp,p_hkp,p_kp,p_ldp,p_mep,p_mhp,p_millet,p_saadet,p_turkparti,p_vatan,p_yurtp,edate_prov
2015_6,Zonguldak,Eregli,Bali,2015,parl15_1,221,207,200,53,0,0,0,101,0,1,0,0,0,0,0,1,0,0,39,0,5,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Ismet Pasa,2015,parl15_1,360,282,277,116,0,0,1,102,0,1,0,0,0,1,0,0,0,0,44,0,11,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Omerli,2015,parl15_1,241,217,210,126,1,0,1,57,0,1,0,0,0,0,0,0,0,0,18,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Uzunmehmet,2015,parl15_1,323,291,287,133,0,0,0,94,1,0,1,0,1,4,1,0,0,0,48,0,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Cayir,2015,parl15_1,366,311,281,72,0,0,0,177,1,0,0,0,1,3,0,0,0,0,24,0,2,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Inagzi,2015,parl15_1,350,290,285,98,0,0,0,111,0,1,0,0,1,2,1,0,0,0,53,0,16,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Yenikoy,2015,parl15_1,322,292,284,147,1,0,0,69,5,1,1,0,0,2,2,0,0,0,44,3,7,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Yolgecen,2015,parl15_1,302,263,262,113,0,0,2,110,0,1,1,0,0,0,1,0,1,0,29,0,2,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Kozlu,Merkez,2015,parl15_1,359,301,298,112,0,0,0,90,0,1,0,0,0,1,0,0,0,0,68,1,25,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Karsiyaka,2015,parl15_1,324,271,267,127,0,0,2,68,0,1,0,0,0,4,0,0,0,0,49,0,16,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Guluc-Cengel,2015,parl15_1,334,294,293,74,0,0,0,156,0,0,0,0,0,6,0,0,0,0,54,0,2,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Yazicilar,2015,parl15_1,303,274,258,131,1,0,0,45,1,1,1,0,1,0,1,0,0,0,64,1,10,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Gokcebey,Yeni,2015,parl15_1,329,287,280,83,0,0,2,138,4,0,0,0,0,1,1,0,0,0,41,1,7,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Sarikokmaz,2015,parl15_1,367,322,317,106,0,0,1,113,1,0,1,0,1,0,0,0,0,0,81,2,11,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Aydinlar,2015,parl15_1,302,263,253,130,0,0,0,69,3,3,0,0,0,3,0,0,2,0,36,0,6,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Akarca,2015,parl15_1,351,300,295,85,0,0,0,161,1,2,0,0,0,2,0,1,0,0,34,0,5,0,4,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Tosunlar,2015,parl15_1,190,156,148,110,0,0,0,18,2,2,0,0,0,1,1,0,0,0,8,0,4,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Oren,2015,parl15_1,351,305,293,127,0,0,0,97,2,2,1,0,1,0,4,0,0,0,53,0,4,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Sarikaya,2015,parl15_1,363,313,305,122,0,0,0,87,2,1,1,0,2,1,0,0,0,0,81,0,8,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Kozlu,Tasbaca,2015,parl15_1,340,280,275,119,0,0,0,70,0,1,1,0,1,3,0,0,0,0,67,0,10,0,3,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Bahcelievler,2015,parl15_1,358,317,316,40,0,0,0,189,0,0,0,0,0,15,0,0,0,0,66,0,4,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Tepebasi,2015,parl15_1,352,277,272,77,0,0,1,125,0,0,0,0,0,3,1,1,0,0,38,0,24,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Bahcelievler,2015,parl15_1,287,246,242,55,0,0,0,127,0,0,0,0,0,7,0,0,1,0,51,0,0,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Elma Tepe,2015,parl15_1,373,335,326,137,0,0,1,101,0,2,0,0,0,2,1,0,0,0,70,0,11,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Caydegirmeni-Kemerler,2015,parl15_1,270,240,230,125,0,0,1,48,0,0,0,0,0,1,1,0,0,0,42,0,11,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Hisiroglu,2015,parl15_1,368,329,313,175,4,0,1,53,3,1,2,0,1,1,5,1,1,0,52,1,11,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Mollabey,2015,parl15_1,268,249,244,158,0,0,1,34,1,0,0,0,1,0,1,0,0,0,46,0,2,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Karapinar,2015,parl15_1,326,261,245,170,0,0,1,29,5,3,0,0,0,1,2,0,0,0,13,2,18,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Dedeler,2015,parl15_1,295,271,257,125,2,0,0,46,0,3,0,0,1,1,2,0,1,0,72,0,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Ahiler,2015,parl15_1,216,196,193,133,0,0,0,20,2,1,0,0,0,0,2,0,0,0,22,0,13,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Mesrutiyet,2015,parl15_1,330,288,283,67,0,0,0,134,1,1,0,0,0,8,1,0,0,0,60,0,10,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Saltukova-Sarikum,2015,parl15_1,278,243,238,82,0,0,0,81,1,0,0,0,0,1,0,0,0,0,67,0,6,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Mufettisler,2015,parl15_1,296,279,271,140,0,0,1,76,2,1,0,0,1,1,0,1,1,0,31,1,12,0,3,0,2015_6_Zonguldak
2015_6,Zonguldak,Alapli,Asagidag,2015,parl15_1,303,274,267,114,1,0,0,87,1,4,0,0,0,0,0,0,0,0,58,0,2,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Guluc-Merkez,2015,parl15_1,320,278,277,135,0,0,0,81,0,1,0,0,1,4,0,0,0,0,43,0,12,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Cay,2015,parl15_1,257,222,220,77,0,0,0,91,0,1,0,0,0,4,0,0,1,0,42,0,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Caylioglu,2015,parl15_1,84,80,77,20,0,0,1,36,0,2,0,0,0,0,0,0,0,0,14,0,0,0,4,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Baglik,2015,parl15_1,312,261,260,114,0,0,0,90,1,0,2,0,0,3,0,0,2,0,41,0,7,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Coburlar,2015,parl15_1,210,166,162,53,0,0,2,73,4,1,0,0,0,1,1,0,0,0,25,0,2,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,On Temmuz,2015,parl15_1,331,283,270,74,0,0,0,146,0,0,0,0,0,5,0,0,0,0,35,1,9,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Baglik,2015,parl15_1,369,325,322,76,0,0,0,158,0,0,0,0,0,13,0,0,0,0,68,0,4,0,3,0,2015_6_Zonguldak
2015_6,Zonguldak,Kozlu,Fatih,2015,parl15_1,366,293,287,72,0,0,0,162,1,0,1,0,0,1,1,0,0,0,38,0,7,0,4,0,2015_6_Zonguldak
2015_6,Zonguldak,Kozlu,Fatih,2015,parl15_1,342,297,291,49,0,0,0,176,0,1,1,0,0,5,0,0,0,0,42,0,11,0,6,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Eceler,2015,parl15_1,329,289,274,96,0,0,2,135,1,0,0,0,0,2,1,0,1,0,32,0,4,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Gokcebey,Bodac,2015,parl15_1,338,309,296,109,0,0,1,147,0,1,1,0,0,0,1,0,1,0,25,0,8,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Hacilar,2015,parl15_1,331,312,294,122,0,0,1,86,1,1,0,0,0,1,0,0,0,0,73,0,9,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Gokcebey,Carsi,2015,parl15_1,319,270,258,62,0,0,0,120,0,0,0,0,0,5,0,0,0,0,64,0,7,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Bayat,2015,parl15_1,304,267,264,93,0,0,1,160,0,0,1,0,0,1,1,1,0,0,5,1,0,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Zonguldak Merkez,Yayla,2015,parl15_1,355,301,300,68,0,0,2,150,0,0,0,0,0,11,0,1,0,0,51,0,13,0,4,0,2015_6_Zonguldak
2015_6,Zonguldak,Kilimli,Karadon,2015,parl15_1,343,252,247,92,0,0,0,104,0,1,0,0,0,4,0,0,0,0,31,0,13,0,2,0,2015_6_Zonguldak
2015_6,Zonguldak,Caycuma,Derekoseler,2015,parl15_1,323,283,271,51,0,0,0,176,1,4,0,0,0,0,0,0,0,0,30,1,7,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Kilimli,Hisar Arkasi,2015,parl15_1,351,297,291,44,0,0,0,173,0,0,0,0,0,2,0,0,1,0,50,0,20,0,1,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Sarikokmaz,2015,parl15_1,369,320,315,127,0,0,0,94,0,2,0,0,0,2,0,0,0,0,87,0,3,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Eregli,Akarca,2015,parl15_1,356,307,287,75,0,0,0,152,1,0,0,0,1,4,0,0,1,0,51,0,2,0,0,0,2015_6_Zonguldak
2015_6,Zonguldak,Devrek,Eski,2015,parl15_1,350,301,298,78,0,0,0,123,0,1,0,0,0,10,0,0,0,0,70,0,16,0,0,0,2015_6_Zonguldak
