,Kommun,KommunParty,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
127,82.0,,1.0,45.0,p_C,riksdagsval,2002,0.39174332552008073,0.294517013819,0.39600544003,0.397299286907,0.48
128,82.0,,1.0,45.0,p_FP,riksdagsval,2002,0.9727614264520085,0.972452342097,0.979205828221,0.972457593279,0.99
129,82.0,,1.0,45.0,p_KD,riksdagsval,2002,0.29228162078362363,0.279632519325,0.220204197324,0.291249282212,0.37
130,82.0,,1.0,45.0,p_S,riksdagsval,2002,0.6848048782701266,0.689307830399,0.687105234789,0.66024331982,0.48
131,82.0,,1.0,45.0,p_V,riksdagsval,2002,,,,,0.0
132,82.0,,1.0,45.0,p_other,riksdagsval,2002,0.4528034403410246,0.538463924306,0.472487928087,0.437274188914,0.205
133,83.0,,1.0,24.0,p_M,riksdagsval,2002,0.7510108379300823,0.76960202512,0.778259282597,0.739918292095,0.75
134,83.0,,1.0,24.0,p_C,riksdagsval,2002,0.2064116575233691,0.049611035795,0.30324909325,0.222869109337,0.21
135,83.0,,1.0,24.0,p_FP,riksdagsval,2002,,,,,0.0
136,83.0,,1.0,24.0,p_KD,riksdagsval,2002,,,,,0.0
137,83.0,,1.0,24.0,p_S,riksdagsval,2002,0.2680106489418065,0.268010648942,0.293290474771,0.275708936772,0.455
138,83.0,,1.0,24.0,p_V,riksdagsval,2002,0.7501820240255606,0.792688630471,0.762933602246,0.739918292095,0.43
139,83.0,,1.0,24.0,p_other,riksdagsval,2002,,,,,0.0
140,84.0,,1.0,33.0,p_M,riksdagsval,2002,,,,,0.0
141,84.0,,1.0,33.0,p_C,riksdagsval,2002,0.1023224595426279,0.0575761184709,0.106345648686,0.103267933689,0.175
142,84.0,,1.0,33.0,p_FP,riksdagsval,2002,0.794073786551712,0.794595925023,0.840083366777,0.790162457193,0.305
143,84.0,,1.0,33.0,p_KD,riksdagsval,2002,,,,,0.0
144,84.0,,1.0,33.0,p_S,riksdagsval,2002,,,,,0.0
145,84.0,,1.0,33.0,p_V,riksdagsval,2002,0.8499940674796201,0.861618261081,0.80186684703,0.844743977513,0.435
146,84.0,,1.0,33.0,p_other,riksdagsval,2002,,,,,0.0
147,86.0,,1.0,25.0,p_M,riksdagsval,2002,0.6014901295604476,0.60149012956,0.663008530475,0.595548507284,0.665
148,86.0,,1.0,25.0,p_C,riksdagsval,2002,,,,,0.0
149,86.0,,1.0,25.0,p_FP,riksdagsval,2002,0.9041774280162097,0.904177428016,0.892369513369,0.897762597121,0.665
150,86.0,,1.0,25.0,p_KD,riksdagsval,2002,0.5140159181236215,0.498351716512,0.57734325728,0.514123620231,0.22
151,86.0,,1.0,25.0,p_S,riksdagsval,2002,0.8879952146983255,0.866232557587,0.90521799066,0.897762597121,0.35
152,86.0,,1.0,25.0,p_V,riksdagsval,2002,,,,,0.0
153,86.0,,1.0,25.0,p_other,riksdagsval,2002,0.8930958596629297,0.821939131215,0.916047842809,0.897762597121,0.73
154,87.0,,1.0,6.0,p_M,riksdagsval,2002,,,,,0.0
155,87.0,,1.0,6.0,p_C,riksdagsval,2002,,,,,0.0
156,87.0,,1.0,6.0,p_FP,riksdagsval,2002,,,,,0.0
157,87.0,,1.0,6.0,p_KD,riksdagsval,2002,,,,,0.0
158,87.0,,1.0,6.0,p_S,riksdagsval,2002,,,,,0.0
159,87.0,,1.0,6.0,p_V,riksdagsval,2002,,,,,0.0
160,87.0,,1.0,6.0,p_other,riksdagsval,2002,,,,,0.0
161,88.0,,1.0,39.0,p_M,riksdagsval,2002,0.1920878241363457,0.144274880619,0.302364741372,0.211867644524,0.25
162,88.0,,1.0,39.0,p_C,riksdagsval,2002,0.9716976226062446,0.957614047107,0.959692790112,0.971875310583,0.855
163,88.0,,1.0,39.0,p_FP,riksdagsval,2002,0.11963629517584931,0.115938094524,0.0951452490928,0.119615115291,0.035
164,88.0,,1.0,39.0,p_KD,riksdagsval,2002,0.30720523907496766,0.236892091687,0.346037232292,0.312502197206,0.1
165,88.0,,1.0,39.0,p_S,riksdagsval,2002,,,,,0.0
166,88.0,,1.0,39.0,p_V,riksdagsval,2002,0.6503670574244595,0.621220509086,0.699790308284,0.647797011366,0.75
167,88.0,,1.0,39.0,p_other,riksdagsval,2002,0.779482818426901,0.923570908394,0.786021237924,0.752677908482,0.655
168,91.0,,1.0,22.0,p_M,riksdagsval,2002,0.7319563770633524,0.753146442027,0.785552529438,0.721592266791,0.32
169,91.0,,1.0,22.0,p_C,riksdagsval,2002,,,,,0.0
170,91.0,,1.0,22.0,p_FP,riksdagsval,2002,0.2202031639084757,0.175226168739,0.314192307308,0.2345940902,0.135
171,91.0,,1.0,22.0,p_KD,riksdagsval,2002,,,,,0.0
172,91.0,,1.0,22.0,p_S,riksdagsval,2002,,,,,0.0
173,91.0,,1.0,22.0,p_V,riksdagsval,2002,0.7078316898675585,0.554812470083,0.761136838805,0.721592266791,0.5
174,91.0,,1.0,22.0,p_other,riksdagsval,2002,0.6439242787963549,0.744336265275,0.716670431858,0.627654898285,0.615
175,92.0,,1.0,18.0,p_M,riksdagsval,2002,,,,,0.0
176,92.0,,1.0,18.0,p_C,riksdagsval,2002,,,,,0.0
177,92.0,,1.0,18.0,p_FP,riksdagsval,2002,,,,,0.0
178,92.0,,1.0,18.0,p_KD,riksdagsval,2002,,,,,0.0
179,92.0,,1.0,18.0,p_S,riksdagsval,2002,,,,,0.0
180,92.0,,1.0,18.0,p_V,riksdagsval,2002,0.5605201046897978,0.40833454611,0.647650670887,0.579478929696,0.135
181,92.0,,1.0,18.0,p_other,riksdagsval,2002,,,,,0.0
182,5.0,,3.0,11.0,p_M,riksdagsval,2002,,,,,0.0
183,5.0,,3.0,11.0,p_C,riksdagsval,2002,,,,,0.0
184,5.0,,3.0,11.0,p_FP,riksdagsval,2002,,,,,0.0
185,5.0,,3.0,11.0,p_KD,riksdagsval,2002,,,,,0.0
186,5.0,,3.0,11.0,p_S,riksdagsval,2002,,,,,0.0
187,5.0,,3.0,11.0,p_V,riksdagsval,2002,,,,,0.0
188,5.0,,3.0,11.0,p_other,riksdagsval,2002,,,,,0.0
189,19.0,,3.0,9.0,p_M,riksdagsval,2002,,,,,0.0
190,19.0,,3.0,9.0,p_C,riksdagsval,2002,,,,,0.0
191,19.0,,3.0,9.0,p_FP,riksdagsval,2002,,,,,0.0
