,Lan,N,Party,Race,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
126,24.0,190.0,p_M,riksdagsval,2002,0.460659815546,0.112835801714,0.464342055089,0.492333023092,0.425
127,24.0,190.0,p_C,riksdagsval,2002,0.718559432184,0.581952781827,0.725475204075,0.729338629349,0.71
128,24.0,190.0,p_FP,riksdagsval,2002,0.854882045249,0.654546552029,0.874009061586,0.865170097718,0.85
129,24.0,190.0,p_KD,riksdagsval,2002,0.534626682577,0.420748721862,0.551729176175,0.523574077768,0.31
130,24.0,190.0,p_S,riksdagsval,2002,0.279904808936,0.320271417278,0.227765225421,0.238099929033,0.115
131,24.0,190.0,p_V,riksdagsval,2002,0.29195943494,0.129344630695,0.250083541966,0.309578527939,0.355
132,24.0,190.0,p_other,riksdagsval,2002,0.507548792006,0.252941909665,0.523010605163,0.51307752647,0.525
133,25.0,244.0,p_M,riksdagsval,2002,0.941775798839,0.388902298458,0.95684483642,0.929739348237,0.96
134,25.0,244.0,p_C,riksdagsval,2002,0.662630276484,0.0924164181093,0.680284421059,0.655887743316,0.685
135,25.0,244.0,p_FP,riksdagsval,2002,0.294408846981,0.00597941150381,0.262108964469,0.287113456261,0.245
136,25.0,244.0,p_KD,riksdagsval,2002,0.927328547513,0.264201098788,0.801062649827,0.934433510622,0.665
137,25.0,244.0,p_S,riksdagsval,2002,0.975466244153,0.981517492721,0.967121841515,0.968671147084,0.99
138,25.0,244.0,p_V,riksdagsval,2002,0.0152536150796,0.00290629809316,0.0175064777862,0.0173149935725,0.045
139,25.0,244.0,p_other,riksdagsval,2002,0.368498311184,0.154238254554,0.403439776496,0.39745868459,0.375
140,1.0,1215.0,p_M,riksdagsval,2010,0.0454666557629,0.0405534442238,0.0455162433254,0.0548418680734,0.175
141,1.0,1215.0,p_C,riksdagsval,2010,0.489069738719,0.120367598941,0.504165766685,0.421475108986,0.115
142,1.0,1215.0,p_FP,riksdagsval,2010,0.417131103205,0.86520446813,0.29563837041,0.270109559624,0.175
143,1.0,1215.0,p_KD,riksdagsval,2010,0.0150573816439,0.000230277033682,0.0196408290576,0.014483279503,0.03
144,1.0,1215.0,p_S,riksdagsval,2010,0.371676242223,0.222585054253,0.437559175779,0.486444323364,0.325
145,1.0,1215.0,p_V,riksdagsval,2010,0.043554211449,9.47859285742e-06,0.0586641634793,0.063113707258,0.02
146,1.0,1215.0,p_MP,riksdagsval,2010,0.289383430103,0.27599783527,0.247332102064,0.226371979845,0.31
147,1.0,1215.0,p_SD,riksdagsval,2010,0.797327548059,0.020541134791,0.777121906215,0.782263553213,0.935
148,1.0,1215.0,p_other,riksdagsval,2010,0.0615788073091,1.75920666279e-06,0.0842671619127,0.0762782614096,0.57
149,3.0,213.0,p_M,riksdagsval,2010,0.330124110109,0.332850212632,0.315339091366,0.324180012539,0.555
150,3.0,213.0,p_C,riksdagsval,2010,0.587469757,0.46960691835,0.587181158657,0.583512873542,0.55
151,3.0,213.0,p_FP,riksdagsval,2010,0.758966015983,0.705762198254,0.77907078964,0.747878923498,0.635
152,3.0,213.0,p_KD,riksdagsval,2010,0.119038722071,0.0755680587413,0.0844717967392,0.112807506246,0.2
153,3.0,213.0,p_S,riksdagsval,2010,0.339301229422,0.330480446637,0.443807268617,0.35391671021,0.48
154,3.0,213.0,p_V,riksdagsval,2010,0.30294498324,0.166627937983,0.288428508754,0.303022381936,0.075
155,3.0,213.0,p_MP,riksdagsval,2010,0.636629254353,0.754366429152,0.620654872603,0.593215751676,0.71
156,3.0,213.0,p_SD,riksdagsval,2010,0.090513526909,0.0112490430485,0.0820145351517,0.103793461028,0.065
157,3.0,213.0,p_other,riksdagsval,2010,0.991008790376,0.996496620911,0.981076591653,0.984599782135,0.89
158,4.0,183.0,p_M,riksdagsval,2010,0.218585110054,0.186818301255,0.248810105575,0.251095864715,0.27
159,4.0,183.0,p_C,riksdagsval,2010,0.921751253461,0.628183873827,0.938542807129,0.922203846539,0.97
160,4.0,183.0,p_FP,riksdagsval,2010,0.854812422332,0.850244259878,0.73001157317,0.831440825359,0.63
161,4.0,183.0,p_KD,riksdagsval,2010,0.457906558071,0.23278168476,0.452710955293,0.460793699158,0.19
162,4.0,183.0,p_S,riksdagsval,2010,0.92229311196,0.924045364442,0.857834279739,0.91532400162,0.78
163,4.0,183.0,p_V,riksdagsval,2010,0.1423317944,0.0933511304011,0.130511487818,0.138964226241,0.185
164,4.0,183.0,p_MP,riksdagsval,2010,0.888460318544,0.781863676818,0.859490398869,0.884891966659,0.895
